From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
LCE3E	protein-protein interactions	KRTAP10-5		
LCE3E	protein-protein interactions	KRTAP10-7		
LCE3E	protein-protein interactions	KRTAP10-8		
LCE3E	protein-protein interactions	KRTAP10-9		
LCE3E	protein-protein interactions	KRTAP3-2		
LCE3E	protein-protein interactions	KRTAP4-12		
LCE3E	protein-protein interactions	KRTAP5-9		
LCE3E	protein-protein interactions	KRTAP9-4		
LOC100996763/NOTCH2NL	protein-protein interactions	KLHL38		
LOC100996763/NOTCH2NL	protein-protein interactions	KRT83		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP10-1		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP10-3		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP10-5		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP10-7		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP10-8		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP10-9		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP12-2		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP13-3		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP26-1		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP3-1		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP4-11		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP4-12		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP5-6		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP5-9		
LOC100996763/NOTCH2NL	protein-protein interactions	KRTAP9-4		
LOC100996763/NOTCH2NL	protein-protein interactions	LCE2C/LCE2D		
LOC100996763/NOTCH2NL	protein-protein interactions	LCE3C		
LOC100996763/NOTCH2NL	protein-protein interactions	LCE3E		
LOC100996763/NOTCH2NL	protein-protein interactions	LRCH4		
LOC100996763/NOTCH2NL	protein-protein interactions	MAPKBP1		
LOC100996763/NOTCH2NL	protein-protein interactions	MXD3		
LOC100996763/NOTCH2NL	protein-protein interactions	MXI1		
LOC100996763/NOTCH2NL	protein-protein interactions	NAB2		
LOC100996763/NOTCH2NL	protein-protein interactions	NMU		
LRCH4	protein-protein interactions	KRTAP10-7		
LRCH4	protein-protein interactions	KRTAP10-8		
LRCH4	protein-protein interactions	LRCH4		
LY6H	protein-protein interactions	KRTAP5-9		
MAB21L3	protein-protein interactions	KRTAP10-9		
MAPK8	activation	MAPK8		
MAPK8	inhibition	MAPK8		
MAPK8	molecular cleavage	MAPK8		
MAPK8	phosphorylation	MAPK8		
MAPK8	protein-protein interactions	MAPK8		
MAPK8	regulation of binding	MAPK8		
MAPK8	translocation	MAPK8		
MAPK8	ubiquitination	MAPK8		
MAPKBP1	protein-protein interactions	KRTAP10-1		
MAPKBP1	protein-protein interactions	KRTAP10-3		
MAPKBP1	protein-protein interactions	KRTAP10-7		
MAPKBP1	protein-protein interactions	KRTAP10-8		
MAPKBP1	protein-protein interactions	KRTAP10-9		
MAPKBP1	protein-protein interactions	KRTAP3-2		
MAPKBP1	protein-protein interactions	KRTAP4-12		
MAPKBP1	protein-protein interactions	KRTAP5-9		
MAPKBP1	protein-protein interactions	KRTAP9-4		
MAPKBP1	protein-protein interactions	MAPK8		
MAPKBP1	protein-protein interactions	MAPKBP1		
MOBP	protein-protein interactions	KRTAP10-1		
MOBP	protein-protein interactions	KRTAP10-3		
MOBP	protein-protein interactions	KRTAP10-5		
MOBP	protein-protein interactions	KRTAP10-7		
MOBP	protein-protein interactions	KRTAP10-9		
MXD3	protein-protein interactions	KRTAP10-7		
MXI1	protein-protein interactions	KRTAP10-3		
MXI1	protein-protein interactions	KRTAP10-5		
MXI1	protein-protein interactions	KRTAP10-7		
MXI1	protein-protein interactions	KRTAP10-8		
MXI1	protein-protein interactions	KRTAP10-9		
NAB2	protein-protein interactions	KRTAP10-3		
NAB2	protein-protein interactions	KRTAP10-8		
NAB2	protein-protein interactions	NAB2		
NAB2	regulation of binding	NAB2		
NAB2	transcription	NAB2		
NMU	expression	NMU		
NMU	protein-protein interactions	KRTAP5-9		
NRK	activation	MAPK8		
